Federation	2007 CPU (kS12K) Pledge	2008 CPU (kS12K) Pledge	VOMoU	VOAdditional	Accounting Name	Site(s)	Updated 		
"Australia, University of Melbourne"	40	150	atlas	"alice,cms,lhcb"	AU-ATLAS	Australia-UNIMELB-LCG2	12/3/07		
"Austria, Austrian Tier-2 Federation"	420	540	"atlas,cms"	"alice,lhcb"	AT-HEPHY-VIENNA-UIBK	HEPHY-UIBK	12/3/07		
"Belgium, Belgian Tier-2 Federation"	600	1050	cms	"alice,atlas,lhcb"	BE-TIER2	BEgrid-ULB-VUB			
			cms	"alice,atlas,lhcb"		BelGrid-UCL			
Canada-East Federation		200	atlas	"alice,cms,lhcb"	CA-EAST-T2	TORONTO-LCG2	4/10/08		
Canada-West Federation		300	atlas	"alice,cms,lhcb"	CA-WEST-T2	ALBERTA-LCG2	4/10/08		
			atlas	"alice,cms,lhcb"		SFU-LCG2	4/10/08		
			atlas	"alice,cms,lhcb"		VICTORIA-LCG2	4/10/08		
"China, IHEP, Beijing"	400	400	"atlas,cms"	"alice,lhcb"	CN-IHEP 	BEIJING-LCG2	12/3/07		
"Czech Rep., FZU AS, Prague"	80	164	"alice,atlas"	"cms,lhcb"	CZ-Prague-T2 	praguelcg2			
			"alice,atlas"	"cms,lhcb"		prague_cesnet_lcg2			
"Estonia, NICPB, Tallinn"		150	cms	"alice,atlas,lhcb"	EE-NICPB	T2_Estonia	4/2/08		
"Finland, NDGF/HIP Tier2"	187	564	cms	"alice,atlas,lhcb"	FI-HIP-T2	HIP-T2	2/14/08		
"France, CC-IN2P3 AF"	320	1500	"alice,atlas,cms,lhcb"		FR-IN2P3-CC-T2 	IN2P3-CC-T2			
"France, GRIF, Paris"	583	1642	"alice,atlas,cms,lhcb"		FR-GRIF 	GRIF	12/3/07		
"France, LAPP, Annecy"	350	600	"atlas,lhcb"	"alice,cms"	FR-IN2P3-LAPP	IN2P3-LAPP	10/26/07
"France, LPC, Clermont-Ferrand"	450	800	"alice,atlas,lhcb"	cms	FR-IN2P3-LPC 	IN2P3-LPC	
"France, SUBATECH, Nantes"	224	434	alice	"atlas,cms,lhcb"	FR-IN2P3-SUBATECH 	IN2P3-SUBATECH	
"Germany ATLAS Federation, DESY"	78	583	atlas		DE-DESY-ATLAS-T2 	DESY-HH	4/2/08
			atlas			DESY-ZN	10/5/07
"Germany, GSI, Darmstadt"	260	660	alice	"atlas,cms,lhcb"	DE-GSI 	GSI-LCG2	
"Germany, ATLAS Federation FR/W"	80	584	atlas	"alice,cms,lhcb"	DE-FREIBURGWUPPERTAL	UNI-FREIBURG	3/4/08
			atlas	"alice,cms,lhcb"		wuppertalprod	
"Germany, ATLAS Federation, Munich"	100	622	atlas	"alice,cms,lhcb"	DE-MCAT	LRZ-LMU	3/4/08
			atlas	"alice,cms,lhcb"		MPPMU	3/4/08
"Germany, CMS Federation"	500	1050	cms		DE-DESY-RWTH-CMS-T2	DESY-HH	10/5/07
			cms			DESY-ZN	10/5/07
			cms	"alice,atlas,lhcb"		RWTH-Aachen	10/5/07
"Hungary, HGCC Federation"	200	270	"alice,cms"	"atlas,lhcb"	HU-HGCC-T2	BUDAPEST	2/11/08
			"alice,cms"	"atlas,lhcb"		ELTE	2/11/08
"India, TIFR, Mumbai"	130	450	cms	"alice,atlas,lhcb"	IN-INDIACMS-TIFR 	INDIACMS-TIFR	
"India, VECC/SINP, Kolkata"	282	450	alice	"atlas,cms,lhcb"	IN-DAE-KOLKATA-TIER2 	IN-DAE-VECC-01	
